0	[((38096643, 38024757, 0), 0), ((38024757, 38057031, 0), 2), ((38057031, 38046725, 0), 10), ((38046725, 38058901, 0), 18), ((38058901, 38078585, 0), 28), ((38078585, 38078589, 0), 37), ('GOAL', 38078589, 37)]
1	[((1557362915, 37982991, 0), 0), ((37982991, 38062559, 0), 3), ((38062559, 38062557, 0), 9), ((38062557, 38126875, 0), 22), ((38126875, 38123182, 0), 34), ((38123182, 38038045, 0), 40), ((38038045, 38002419, 0), 49), ((38002419, 38035334, 0), 57), ((38035334, 38048952, 0), 64), ((38048952, 38096643, 0), 78), ((38096643, 38024757, 0), 116), ((38024757, 38057031, 0), 132), ((38057031, 38046725, 0), 152), ((38046725, 38058901, 0), 167), ((38058901, 38078585, 0), 178), ((38078585, 38078589, 0), 187), ('GOAL', 38078589, 187)]
2	[((38128507, 37982977, 0), 0), ((37982977, 38009439, 0), 3), ((38009439, 37987901, 0), 6), ((37987901, 38127601, 0), 9), ((38127601, 38005219, 0), 12), ((38005219, 38014590, 0), 16), ((38014590, 38063509, 0), 21), ((38063509, 38039366, 0), 25), ((38039366, 38048961, 0), 33), ((38048961, 38048956, 0), 47), ((38048956, 38048952, 0), 56), ((38048952, 38096643, 0), 71), ((38096643, 38024757, 0), 103), ((38024757, 38057031, 0), 118), ((38057031, 38046725, 0), 139), ((38046725, 38058901, 0), 153), ((38058901, 38078585, 0), 164), ((38078585, 38078589, 0), 173), ('GOAL', 38078589, 173)]
3	[((38002421, 38035340, 0), 0), ((38035340, 38048956, 0), 5), ((38048956, 38048952, 0), 10), ((38048952, 38096643, 0), 22), ((38096643, 38024757, 0), 30), ((38024757, 38057031, 0), 40), ((38057031, 38046725, 0), 60), ((38046725, 38058901, 0), 70), ((38058901, 38078585, 0), 80), ((38078585, 38078589, 0), 89), ('GOAL', 38078589, 89)]
4	[((38062559, 38062557, 0), 0), ((38062557, 38126875, 0), 4), ((38126875, 38123182, 0), 17), ((38123182, 38038045, 0), 23), ((38038045, 38002419, 0), 32), ((38002419, 38035334, 0), 40), ((38035334, 38048952, 0), 57), ((38048952, 38096643, 0), 74), ((38096643, 38024757, 0), 109), ((38024757, 38057031, 0), 124), ((38057031, 38046725, 0), 145), ((38046725, 38058901, 0), 160), ((38058901, 38078585, 0), 170), ((38078585, 38078589, 0), 179), ('GOAL', 38078589, 179)]
5	[((38062557, 38062559, 0), 0), ((38062559, 38062557, 0), 9), ((38062557, 38126875, 0), 20), ((38126875, 38123182, 0), 33), ((38123182, 38038045, 0), 39), ((38038045, 38002419, 0), 47), ((38002419, 38035334, 0), 56), ((38035334, 38048952, 0), 63), ((38048952, 38096643, 0), 77), ((38096643, 38024757, 0), 114), ((38024757, 38057031, 0), 129), ((38057031, 38046725, 0), 150), ((38046725, 38058901, 0), 165), ((38058901, 38078585, 0), 175), ((38078585, 38078589, 0), 185), ('GOAL', 38078589, 185)]
6	[((38123182, 38126875, 0), 0), ((38126875, 38123182, 0), 3), ((38123182, 38038045, 0), 9), ((38038045, 38002419, 0), 18), ((38002419, 38035334, 0), 26), ((38035334, 38048952, 0), 42), ((38048952, 38096643, 0), 57), ((38096643, 38024757, 0), 84), ((38024757, 38057031, 0), 98), ((38057031, 38046725, 0), 119), ((38046725, 38058901, 0), 132), ((38058901, 38078585, 0), 142), ((38078585, 38078589, 0), 152), ('GOAL', 38078589, 152)]
7	[((37982991, 1557362915, 0), 0), ((1557362915, 37982991, 0), 4), ((37982991, 38062559, 0), 8), ((38062559, 38062557, 0), 15), ((38062557, 38126875, 0), 29), ((38126875, 38123182, 0), 42), ((38123182, 38038045, 0), 47), ((38038045, 38002419, 0), 57), ((38002419, 38035334, 0), 65), ((38035334, 38048952, 0), 72), ((38048952, 38096643, 0), 86), ((38096643, 38024757, 0), 123), ((38024757, 38057031, 0), 139), ((38057031, 38046725, 0), 160), ((38046725, 38058901, 0), 175), ((38058901, 38078585, 0), 185), ((38078585, 38078589, 0), 195), ('GOAL', 38078589, 195)]
8	[((38063505, 38039364, 0), 0), ((38039364, 38077723, 0), 4), ((38077723, 38083061, 0), 10), ((38083061, 387669119, 0), 17), ((387669119, 38135625, 0), 27), ((38135625, 38024769, 0), 30), ((38024769, 38024763, 0), 32), ((38024763, 38024757, 0), 36), ((38024757, 38057031, 0), 42), ((38057031, 38046725, 0), 64), ((38046725, 38058901, 0), 73), ((38058901, 38078585, 0), 84), ((38078585, 38078589, 0), 93), ('GOAL', 38078589, 93)]
9	[((38014590, 38063509, 0), 0), ((38063509, 38039366, 0), 1), ((38039366, 38048961, 0), 5), ((38048961, 38048956, 0), 19), ((38048956, 38048952, 0), 28), ((38048952, 38096643, 0), 41), ((38096643, 38024757, 0), 57), ((38024757, 38057031, 0), 70), ((38057031, 38046725, 0), 91), ((38046725, 38058901, 0), 103), ((38058901, 38078585, 0), 113), ((38078585, 38078589, 0), 122), ('GOAL', 38078589, 122)]
