0	[((56078313, 56078315, 0), 0), ((56078315, 56040934, 0), 9), ((56040934, 56084803, 0), 42), ((56084803, 56084797, 0), 48), ((56084797, 7049377524, 0), 62), ((7049377524, 7049377523, 0), 77), ((7049377523, 56084795, 0), 78), ((56084795, 7049377534, 0), 79), ((7049377534, 7049377521, 0), 80), ((7049377521, 7028171795, 0), 81), ((7028171795, 7049316377, 0), 94), ((7049316377, 56072571, 0), 101), ((56072571, 5967827272, 0), 107), ((5967827272, 56093153, 0), 115), ((56093153, 6780134822, 0), 132), ((6780134822, 5964494955, 0), 142), ((5964494955, 56131641, 0), 143), ((56131641, 6780134815, 0), 150), ((6780134815, 56034880, 0), 177), ((56034880, 56045060, 0), 180), ((56045060, 6780134818, 0), 192), ((6780134818, 6780134811, 0), 204), ((6780134811, 3711226065, 0), 209), ((3711226065, 3711226062, 0), 220), ((3711226062, 3711226058, 0), 224), ((3711226058, 6320156843, 0), 227), ((6320156843, 6776205179, 0), 233), ('GOAL', 6776205179, 233)]
1	[((56102904, 56097445, 0), 0), ((56097445, 56097457, 0), 2), ((56097457, 56065549, 0), 5), ((56065549, 56097462, 0), 13), ((56097462, 56043015, 0), 16), ((56043015, 56106954, 0), 20), ('GOAL', 56106954, 20)]
2	[((2191283425, 2191283400, 0), 0), ((2191283400, 2191283423, 0), 11), ((2191283423, 4077326024, 0), 16), ((4077326024, 56017227, 0), 30), ((56017227, 56093882, 0), 37), ((56093882, 56030470, 0), 42), ((56030470, 56030472, 0), 60), ((56030472, 2191283277, 0), 66), ((2191283277, 2191283249, 0), 75), ((2191283249, 2191283180, 0), 92), ((2191283180, 356605288, 0), 101), ((356605288, 356605287, 0), 108), ((356605287, 356605286, 0), 116), ((356605286, 2191283076, 0), 119), ((2191283076, 2191283087, 0), 127), ((2191283087, 2191282970, 0), 130), ((2191282970, 2191282968, 0), 138), ((2191282968, 56051487, 0), 140), ((56051487, 56096196, 0), 141), ('GOAL', 56096196, 141)]
3	[((2479665534, 56033704, 0), 0), ('GOAL', 56033704, None)]
4	[((56090916, 56090915, 0), 0), ((56090915, 56109041, 0), 1), ((56109041, 56063826, 0), 7), ((56063826, 56066493, 0), 11), ((56066493, 56093372, 0), 29), ((56093372, 6380546454, 0), 33), ((6380546454, 6380546452, 0), 38), ((6380546452, 6380546450, 0), 44), ((6380546450, 6380546451, 0), 46), ((6380546451, 1816389916, 0), 49), ((1816389916, 1816389919, 0), 52), ((1816389919, 1816389848, 0), 55), ((1816389848, 1816389850, 0), 74), ((1816389850, 56109058, 0), 86), ('GOAL', 56109058, 86)]
5	[((56046574, 56046575, 0), 0), ((56046575, 56046574, 0), 5), ((56046574, 317143195, 0), 9), ((317143195, 56057991, 0), 12), ((56057991, 3292802508, 0), 14), ((3292802508, 56057990, 0), 15), ((56057990, 56132833, 0), 16), ('GOAL', 56132833, 16)]
6	[((56110274, 56114549, 0), 0), ((56114549, 56036509, 0), 1), ((56036509, 56036506, 0), 4), ((56036506, 3292802488, 0), 13), ((3292802488, 56074636, 0), 15), ((56074636, 56114153, 0), 16), ((56114153, 56114161, 0), 34), ((56114161, 56138378, 0), 42), ((56138378, 56056056, 0), 49), ('GOAL', 56056056, 49)]
7	[((56062527, 56061124, 0), 0), ((56061124, 56144298, 0), 3), ((56144298, 56130750, 0), 5), ((56130750, 56018579, 0), 6), ((56018579, 56130754, 0), 14), ((56130754, 56062256, 0), 19), ((56062256, 56059570, 0), 22), ((56059570, 56059571, 0), 37), ((56059571, 56059573, 0), 42), ((56059573, 56059574, 0), 55), ((56059574, 56080006, 0), 59), ((56080006, 56065714, 0), 63), ((56065714, 56049930, 0), 65), ((56049930, 56049932, 0), 72), ((56049932, 56155742, 0), 76), ((56155742, 56092105, 0), 95), ((56092105, 56164551, 0), 108), ((56164551, 56102905, 0), 120), ((56102905, 56065547, 0), 133), ((56065547, 56065549, 0), 167), ((56065549, 56097462, 0), 170), ((56097462, 56043015, 0), 173), ((56043015, 56106954, 0), 177), ('GOAL', 56106954, 177)]
8	[((56122535, 56072376, 0), 0), ((56072376, 56122535, 0), 2), ((56122535, 56102872, 0), 9), ((56102872, 55973175, 0), 12), ((55973175, 56004921, 0), 19), ((56004921, 354743884, 0), 30), ((354743884, 354743658, 0), 48), ((354743658, 55983740, 0), 51), ((55983740, 339258709, 0), 73), ((339258709, 300787461, 0), 94), ((300787461, 354739682, 0), 110), ((354739682, 29892721, 0), 133), ((29892721, 354418673, 0), 145), ((354418673, 56009424, 0), 159), ('GOAL', 56009424, 159)]
9	[((56030280, 56021344, 0), 0), ((56021344, 56030280, 0), 20), ((56030280, 56060421, 0), 38), ((56060421, 7297665396, 0), 55), ((7297665396, 56097863, 0), 62), ((56097863, 7297665435, 0), 68), ((7297665435, 354739241, 0), 69), ('GOAL', 354739241, 69)]
